loss,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
1.9036930799484253,"[0.8208228349685669, 0.8344849348068237, 0.7781093120574951, 0.77277010679245, 0.8194095492362976, 0.8175251483917236, 0.8178392052650452, 0.8252198696136475]",0.8107726573944092,"[0.2525547444820404, 0.20045557618141174, 0.2623574137687683, 0.2776618003845215, 0.1780104786157608, 0.1642066389322281, 0.18871252238750458, 0.3024691343307495]",0.22830355167388916,"[0.21571072936058044, 0.1112515777349472, 0.437817245721817, 0.49381187558174133, 0.13060179352760315, 0.11152882128953934, 0.13258983194828033, 0.30895334482192993]",0.24278314411640167,"[0.23268325626850128, 0.1430894434452057, 0.328102707862854, 0.3554565906524658, 0.15066470205783844, 0.13283582031726837, 0.1557496339082718, 0.3056768476963043]",0.2353208363056183
1.8138487339019775,"[0.8498743772506714, 0.8286746144294739, 0.7902010083198547, 0.7993090748786926, 0.8299309015274048, 0.839195966720581, 0.8506595492362976, 0.8336997628211975]",0.8276931643486023,"[0.359925776720047, 0.2078431397676468, 0.3106529116630554, 0.3388543725013733, 0.24278438091278076, 0.2460850179195404, 0.20247933268547058, 0.38170623779296875]",0.2862914204597473,"[0.24099378287792206, 0.13366961479187012, 0.5757961869239807, 0.6054254174232483, 0.18333333730697632, 0.13801756501197815, 0.06071871146559715, 0.5493670701980591]",0.3109152317047119,"[0.2886904776096344, 0.16270147264003754, 0.4035714268684387, 0.43451327085494995, 0.20891162753105164, 0.1768488883972168, 0.0934223011136055, 0.4504410922527313]",0.2980956733226776
1.759490966796875,"[0.8467336893081665, 0.8380967378616333, 0.7988379597663879, 0.8332286477088928, 0.827418327331543, 0.8357412219047546, 0.8536432385444641, 0.8402952551841736]",0.8342493772506714,"[0.35374149680137634, 0.2019704431295395, 0.3314955234527588, 0.3996865153312683, 0.269565224647522, 0.27617329359054565, 0.22807016968727112, 0.40340426564216614]",0.308013379573822,"[0.2587064802646637, 0.10392902046442032, 0.6073232293128967, 0.6327543258666992, 0.23815621435642242, 0.1917293220758438, 0.06435643881559372, 0.6000000238418579]",0.33711937069892883,"[0.2988505959510803, 0.1372384876012802, 0.4288898706436157, 0.4899135231971741, 0.2528892159461975, 0.22633138298988342, 0.10038609802722931, 0.48244279623031616]",0.3219097852706909
1.750469446182251,"[0.8481469750404358, 0.8531721234321594, 0.7999371886253357, 0.833385705947876, 0.8271042704582214, 0.8271042704582214, 0.8501884341239929, 0.8487751483917236]",0.835976779460907,"[0.3724247217178345, 0.294460654258728, 0.32288628816604614, 0.39968404173851013, 0.2715517282485962, 0.2765647768974304, 0.2183908075094223, 0.4217625856399536]",0.3222156763076782,"[0.2915632724761963, 0.127204030752182, 0.5621827244758606, 0.627013623714447, 0.24137930572032928, 0.23929470777511597, 0.0706319734454155, 0.5944232940673828]",0.3442116379737854,"[0.32707029581069946, 0.1776605248451233, 0.41018515825271606, 0.48818138241767883, 0.25557807087898254, 0.25658339262008667, 0.10674157738685608, 0.49342450499534607]",0.3328506648540497
1.7198907136917114,"[0.8412374258041382, 0.8476758599281311, 0.8109296560287476, 0.8468906879425049, 0.83527010679245, 0.8338567614555359, 0.8512876629829407, 0.8602386713027954]",0.8409233689308167,"[0.35533708333969116, 0.2647058963775635, 0.34047436714172363, 0.4303482472896576, 0.3222811818122864, 0.32760897278785706, 0.20338982343673706, 0.45107632875442505]",0.3369027376174927,"[0.3142857253551483, 0.124685138463974, 0.5654383897781372, 0.643122673034668, 0.3111395537853241, 0.3111668825149536, 0.05947955325245857, 0.5835443139076233]",0.36410778760910034,"[0.3335530757904053, 0.1695205569267273, 0.4250238835811615, 0.5156482458114624, 0.3166123926639557, 0.3191763460636139, 0.09204217791557312, 0.5088300108909607]",0.34997737407684326
1.6888999938964844,"[0.8454774022102356, 0.8508166074752808, 0.8220791220664978, 0.8525439500808716, 0.8347989916801453, 0.8261620402336121, 0.8553705811500549, 0.8539572954177856]",0.8426507711410522,"[0.3717948794364929, 0.29923275113105774, 0.350862056016922, 0.4436741769313812, 0.34262484312057495, 0.3026481568813324, 0.2575107216835022, 0.4357541799545288]",0.3505127429962158,"[0.3246268630027771, 0.14754098653793335, 0.5171537399291992, 0.6328800916671753, 0.3777208626270294, 0.30226701498031616, 0.07425742596387863, 0.5909090638160706]",0.37091952562332153,"[0.3466135561466217, 0.19763514399528503, 0.41807907819747925, 0.5216505527496338, 0.3593178987503052, 0.3024574816226959, 0.11527376621961594, 0.5016076564788818]",0.36042752861976624
1.672485113143921,"[0.8494032621383667, 0.8581972122192383, 0.8200376629829407, 0.8660489916801453, 0.8330715894699097, 0.8277323842048645, 0.854114294052124, 0.8618090748786926]",0.846301794052124,"[0.39031338691711426, 0.3569553792476654, 0.3506711423397064, 0.4771241843700409, 0.33529412746429443, 0.33296090364456177, 0.21395349502563477, 0.45668551325798035]",0.3642447888851166,"[0.3403726816177368, 0.17128463089466095, 0.5291139483451843, 0.6355721354484558, 0.3639846742153168, 0.37343358993530273, 0.05707196146249771, 0.6154822111129761]",0.3857894837856293,"[0.3636363744735718, 0.23148934543132782, 0.42179620265960693, 0.5450666546821594, 0.3490508198738098, 0.35203781723976135, 0.0901077389717102, 0.5243242979049683]",0.3747076988220215
1.6592592000961304,"[0.8476758599281311, 0.8530150651931763, 0.8362123370170593, 0.867148220539093, 0.8373115658760071, 0.8332286477088928, 0.8517587780952454, 0.8603957295417786]",0.8483432531356812,"[0.3912466764450073, 0.31725889444351196, 0.3860589861869812, 0.4817850589752197, 0.3578595221042633, 0.3386114537715912, 0.23346303403377533, 0.4523346424102783]",0.3698272705078125,"[0.36600497364997864, 0.15782828629016876, 0.5482233762741089, 0.6563275456428528, 0.4110115170478821, 0.34880802035331726, 0.07434944063425064, 0.5878634452819824]",0.39380207657814026,"[0.37820515036582947, 0.21079258620738983, 0.4530676603317261, 0.555672287940979, 0.38259831070899963, 0.34363409876823425, 0.11278195679187775, 0.5112699270248413]",0.38143834471702576
1.6328296661376953,"[0.8453203439712524, 0.8577261567115784, 0.8366833925247192, 0.8706030249595642, 0.8417085409164429, 0.8388819098472595, 0.853486180305481, 0.8690326809883118]",0.8516802787780762,"[0.3828125, 0.34688347578048706, 0.3894273042678833, 0.4931129515171051, 0.3724832236766815, 0.367511510848999, 0.2177777737379074, 0.47843137383461]",0.3810550272464752,"[0.365217387676239, 0.16141235828399658, 0.5602027773857117, 0.6637824177742004, 0.42692306637763977, 0.40075376629829407, 0.06079404428601265, 0.6177214980125427]",0.4071009159088135,"[0.37380802631378174, 0.2203098088502884, 0.45945945382118225, 0.565858781337738, 0.397849440574646, 0.3834134638309479, 0.09505334496498108, 0.5392265319824219]",0.3936476409435272
1.6246817111968994,"[0.8561557531356812, 0.8572550415992737, 0.8327575325965881, 0.8759422302246094, 0.8440640568733215, 0.8380967378616333, 0.853486180305481, 0.8644786477088928]",0.8527795076370239,"[0.4215686321258545, 0.34501346945762634, 0.37579041719436646, 0.5083798766136169, 0.37231504917144775, 0.37366166710853577, 0.2576923072338104, 0.4663551449775696]",0.39009708166122437,"[0.37437811493873596, 0.16120906174182892, 0.5265823006629944, 0.6757425665855408, 0.4005134701728821, 0.4389937222003937, 0.0830235406756401, 0.6308470368385315]",0.41141122579574585,"[0.3965744376182556, 0.21974247694015503, 0.4385872483253479, 0.5802338123321533, 0.3858998119831085, 0.4037015736103058, 0.12558574974536896, 0.536270797252655]",0.4004707634449005
