0,1,2,3,4,5,6,7
40,8,2,5,7,12,6,4
4,48,8,3,9,13,3,6
0,3,68,0,4,8,6,3
6,2,1,67,0,6,7,1
4,15,28,0,59,3,6,3
5,3,7,2,3,80,2,0
9,11,25,2,4,15,27,12
2,7,7,2,1,8,22,66
