loss,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
1.8162949085235596,"[0.838567852973938, 0.8322864174842834, 0.797581672668457, 0.8194095492362976, 0.8271042704582214, 0.8206658363342285, 0.8368404507637024, 0.8393530249595642]",0.8264761567115784,"[0.22249388694763184, 0.23709368705749512, 0.28435608744621277, 0.3650793731212616, 0.2697274088859558, 0.28729963302612305, 0.17827297747135162, 0.3984375]",0.28034508228302,"[0.1136079877614975, 0.156368225812912, 0.4164556860923767, 0.5679012537002563, 0.2410256415605545, 0.2923462986946106, 0.07920791953802109, 0.5817490220069885]",0.30608272552490234,"[0.15041321516036987, 0.18844984471797943, 0.3379558324813843, 0.4444444477558136, 0.2545700669288635, 0.2898010015487671, 0.10968294739723206, 0.47295209765434265]",0.2926490902900696
1.639944076538086,"[0.8497173190116882, 0.8511306643486023, 0.8457914590835571, 0.8494032621383667, 0.8492462038993835, 0.8517587780952454, 0.8511306643486023, 0.8680904507637024]",0.8520336151123047,"[0.37251654267311096, 0.3645833432674408, 0.3967914581298828, 0.4355670213699341, 0.3943329453468323, 0.42093783617019653, 0.2633333206176758, 0.47512194514274597]",0.3903980553150177,"[0.280199259519577, 0.2651515007019043, 0.47021546959877014, 0.6266996264457703, 0.4276568591594696, 0.48310387134552, 0.09801489114761353, 0.6172370314598083]",0.40853482484817505,"[0.31982940435409546, 0.3070175349712372, 0.4303944706916809, 0.5139381885528564, 0.41031941771507263, 0.44988343119621277, 0.1428571343421936, 0.5369349718093872]",0.399260550737381
1.5314881801605225,"[0.8611809015274048, 0.8530150651931763, 0.8632223606109619, 0.8819095492362976, 0.8564698696136475, 0.8684045076370239, 0.8481469750404358, 0.8706030249595642]",0.8628690242767334,"[0.45301204919815063, 0.38118812441825867, 0.45393258333206177, 0.5310199856758118, 0.4206257164478302, 0.4754098355770111, 0.2515527904033661, 0.48384031653404236]",0.43132269382476807,"[0.46650123596191406, 0.2916666567325592, 0.5120405554771423, 0.6226880550384521, 0.4671814739704132, 0.5100502371788025, 0.10037174820899963, 0.6443037986755371]",0.4518504738807678,"[0.4596576988697052, 0.33047211170196533, 0.48123881220817566, 0.5732123255729675, 0.4426829218864441, 0.49212121963500977, 0.14348982274532318, 0.5526601672172546]",0.44134801626205444
1.4678915739059448,"[0.8729585409164429, 0.864635705947876, 0.8669912219047546, 0.8972989916801453, 0.8676193356513977, 0.8739007711410522, 0.8511306643486023, 0.8869346976280212]",0.8726837635040283,"[0.49942463636398315, 0.44648319482803345, 0.46834060549736023, 0.5828877091407776, 0.46349942684173584, 0.49702733755111694, 0.2839879095554352, 0.5349321961402893]",0.47207286953926086,"[0.5371286869049072, 0.36868685483932495, 0.5437262654304504, 0.6736711859703064, 0.5128205418586731, 0.523809552192688, 0.1167701855301857, 0.6518424153327942]",0.49105697870254517,"[0.5175908803939819, 0.4038727581501007, 0.5032258629798889, 0.625, 0.48691418766975403, 0.5100671648979187, 0.1654929518699646, 0.5876288414001465]",0.48137781023979187
1.4284772872924805,"[0.8773555159568787, 0.8677763938903809, 0.8701319098472595, 0.9065640568733215, 0.8668341636657715, 0.8815954923629761, 0.8420225977897644, 0.8921168446540833]",0.8755496740341187,"[0.513455331325531, 0.45967742800712585, 0.47859495878219604, 0.6174496412277222, 0.4603729546070099, 0.5263158082962036, 0.27039626240730286, 0.5571428537368774]",0.4854256212711334,"[0.5918114185333252, 0.3598484992980957, 0.5532994866371155, 0.6857143044471741, 0.5064102411270142, 0.539523184299469, 0.14338690042495728, 0.6409608125686646]",0.5026193857192993,"[0.5498558878898621, 0.4036827087402344, 0.5132430791854858, 0.6497939825057983, 0.4822954833507538, 0.5328376293182373, 0.1873990297317505, 0.5961199402809143]",0.49387291073799133
1.3854656219482422,"[0.8815954923629761, 0.8728014826774597, 0.882851779460907, 0.9034233689308167, 0.8742148280143738, 0.8921168446540833, 0.8409233689308167, 0.8894472122192383]",0.8796718120574951,"[0.5292056202888489, 0.4864864945411682, 0.5232558250427246, 0.6070252656936646, 0.488290399312973, 0.5689222812652588, 0.2939999997615814, 0.54966139793396]",0.505855917930603,"[0.5634328126907349, 0.4323641061782837, 0.572519063949585, 0.6827160716056824, 0.5339308381080627, 0.5696361064910889, 0.18215613067150116, 0.6148989796638489]",0.5189567804336548,"[0.5457831025123596, 0.45783132314682007, 0.5467800498008728, 0.6426496505737305, 0.5100917816162109, 0.5692789554595947, 0.2249426245689392, 0.5804529190063477]",0.5123226046562195
1.3431861400604248,"[0.8803392052650452, 0.8776695728302002, 0.8837939500808716, 0.9181846976280212, 0.8771985173225403, 0.8968278765678406, 0.8467336893081665, 0.8952575325965881]",0.8845006227493286,"[0.5231277346611023, 0.5084226727485657, 0.5264937877655029, 0.6651375889778137, 0.501118540763855, 0.5852478742599487, 0.3011764585971832, 0.567627489566803]",0.5222940444946289,"[0.5907959938049316, 0.4202531576156616, 0.5933926105499268, 0.7169345021247864, 0.5714285969734192, 0.6065163016319275, 0.15861214697360992, 0.6489226818084717]",0.5383570194244385,"[0.5549064874649048, 0.46015244722366333, 0.5579450726509094, 0.6900654435157776, 0.533968985080719, 0.5956923365592957, 0.20779219269752502, 0.6055588722229004]",0.5302039384841919
1.3251302242279053,"[0.882851779460907, 0.8781406879425049, 0.8900753855705261, 0.9197550415992737, 0.8751570582389832, 0.9001256227493286, 0.8451633453369141, 0.9004396796226501]",0.8864635825157166,"[0.5323110818862915, 0.5121580362319946, 0.551764726638794, 0.6753864288330078, 0.4926884174346924, 0.5976048111915588, 0.31027254462242126, 0.5867403149604797]",0.5323657989501953,"[0.6037266850471497, 0.42550504207611084, 0.5951776504516602, 0.7047146558761597, 0.5601022839546204, 0.6245306730270386, 0.18385092914104462, 0.6713021397590637]",0.5461137294769287,"[0.5657740831375122, 0.46482759714126587, 0.5726495385169983, 0.689738929271698, 0.5242370367050171, 0.610771119594574, 0.2308892458677292, 0.6261792778968811]",0.5391521453857422
1.2889540195465088,"[0.889918327331543, 0.8815954923629761, 0.8949434757232666, 0.9235238432884216, 0.8866205811500549, 0.8991833925247192, 0.8531721234321594, 0.9060929417610168]",0.8918812870979309,"[0.5564245581626892, 0.5284090638160706, 0.5672316551208496, 0.6913875341415405, 0.5360946655273438, 0.591549277305603, 0.3628692030906677, 0.6100342273712158]",0.5555000305175781,"[0.6209476590156555, 0.4685138463973999, 0.6370558142662048, 0.71623295545578, 0.5785440802574158, 0.6315789222717285, 0.21366459131240845, 0.6763590574264526]",0.5678621530532837,"[0.5869180560112, 0.4966621994972229, 0.6001195311546326, 0.703590989112854, 0.5565110445022583, 0.6109090447425842, 0.2689601182937622, 0.6414868235588074]",0.5616130828857422
1.256070613861084,"[0.8941583037376404, 0.8804962038993835, 0.8921168446540833, 0.9269786477088928, 0.8848932385444641, 0.9070351719856262, 0.8490892052650452, 0.9040514826774597]",0.8923524022102356,"[0.575028657913208, 0.5233917832374573, 0.5592417120933533, 0.7036599516868591, 0.527746319770813, 0.6263736486434937, 0.3530499041080475, 0.6020524501800537]",0.5588180422782898,"[0.6236025094985962, 0.4514501988887787, 0.5997458696365356, 0.7358024716377258, 0.5959079265594482, 0.6420525908470154, 0.23815461993217468, 0.6683544516563416]",0.5693838596343994,"[0.5983313918113708, 0.48476642370224, 0.5787860751152039, 0.7193723320960999, 0.5597597360610962, 0.6341162323951721, 0.2844378352165222, 0.63347327709198]",0.5640514492988586
