0,1,2,3,4,5,6,7
54,11,0,5,4,5,5,0
7,57,2,1,9,9,2,7
1,6,60,0,5,9,6,5
11,2,0,66,0,4,4,3
8,17,14,1,65,4,2,7
7,3,2,4,2,77,2,5
10,16,9,5,3,13,27,22
3,11,8,2,4,3,9,75
