0,1,2,3,4,5,6,7
37,7,2,14,6,6,5,7
5,35,11,6,17,8,3,9
0,5,61,1,6,2,10,7
4,1,1,67,1,5,7,4
0,14,18,1,61,2,13,9
7,1,14,7,1,56,11,5
3,7,13,8,4,12,32,26
1,3,11,1,6,4,7,82
