loss,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
1.8241701126098633,"[0.8233354091644287, 0.85222989320755, 0.7997801303863525, 0.8007223606109619, 0.8081030249595642, 0.8172110319137573, 0.8453203439712524, 0.8450062870979309]",0.8239635229110718,"[0.22357019782066345, 0.23859648406505585, 0.2720450162887573, 0.3356890380382538, 0.2625937759876251, 0.26171875, 0.1909722238779068, 0.4063706696033478]",0.27394452691078186,"[0.16004963219165802, 0.08585858345031738, 0.36755385994911194, 0.5907959938049316, 0.31450578570365906, 0.2518796920776367, 0.06815365701913834, 0.5308953523635864]",0.2962116003036499,"[0.18655098974704742, 0.12627668678760529, 0.31266847252845764, 0.42812076210975647, 0.2862149477005005, 0.2567049562931061, 0.1004566177725792, 0.4603608548641205]",0.2846432626247406
1.6658599376678467,"[0.8494032621383667, 0.8525439500808716, 0.8300879597663879, 0.8424937129020691, 0.8533291220664978, 0.8338567614555359, 0.8335427045822144, 0.8591394424438477]",0.8442996144294739,"[0.28650137782096863, 0.36242884397506714, 0.3657195270061493, 0.4214743673801422, 0.3741829991340637, 0.3680981695652008, 0.2331932783126831, 0.4492078423500061]",0.3576008081436157,"[0.12935324013233185, 0.24055415391921997, 0.5057034492492676, 0.6517967581748962, 0.2935897409915924, 0.44999998807907104, 0.1377171277999878, 0.6116751432418823]",0.3775486946105957,"[0.1782347857952118, 0.289174884557724, 0.42446810007095337, 0.5119221210479736, 0.32902297377586365, 0.4049493670463562, 0.1731669306755066, 0.5180010795593262]",0.36730411648750305
1.5974472761154175,"[0.85222989320755, 0.8594534993171692, 0.8459485173225403, 0.8479899764060974, 0.8506595492362976, 0.8514447212219238, 0.8417085409164429, 0.875]",0.8530543446540833,"[0.3300248086452484, 0.42146191000938416, 0.4016309976577759, 0.43388429284095764, 0.39018088579177856, 0.42311662435531616, 0.237726092338562, 0.49750250577926636]",0.39194101095199585,"[0.16542288661003113, 0.3413098156452179, 0.5, 0.6497524976730347, 0.38668373227119446, 0.5144290924072266, 0.11428571492433548, 0.6295828223228455]",0.41268330812454224,"[0.22038111090660095, 0.3771746754646301, 0.4454494118690491, 0.5203171372413635, 0.3884243965148926, 0.4643261432647705, 0.15436242520809174, 0.5558035969734192]",0.40204480290412903
1.5265902280807495,"[0.8475188612937927, 0.8618090748786926, 0.8663630485534668, 0.8742148280143738, 0.8578831553459167, 0.8784547448158264, 0.8448492288589478, 0.8894472122192383]",0.8650675415992737,"[0.3720930218696594, 0.4330708682537079, 0.4682622253894806, 0.5024108290672302, 0.4262101650238037, 0.5118203163146973, 0.30176210403442383, 0.5450689196586609]",0.4450873136520386,"[0.2977667450904846, 0.3459119498729706, 0.5696202516555786, 0.6464020013809204, 0.46282050013542175, 0.5453400611877441, 0.1695544570684433, 0.6514575481414795]",0.4611091911792755,"[0.33080634474754333, 0.38461536169052124, 0.5139920115470886, 0.5653825998306274, 0.4437614977359772, 0.5280487537384033, 0.21711568534374237, 0.593533456325531]",0.4529566466808319
1.4657090902328491,"[0.8523869514465332, 0.865263819694519, 0.8721733689308167, 0.8863065242767334, 0.864635705947876, 0.8825376629829407, 0.8464195728302002, 0.8919597864151001]",0.8702104091644287,"[0.4166666567325592, 0.4442567527294159, 0.487525999546051, 0.5437302589416504, 0.4529816508293152, 0.5299760103225708, 0.31856539845466614, 0.5573212504386902]",0.46887797117233276,"[0.4156327545642853, 0.3320707082748413, 0.5936709046363831, 0.6394051909446716, 0.5064102411270142, 0.5538846850395203, 0.18734490871429443, 0.6223067045211792]",0.48134076595306396,"[0.4161490797996521, 0.38005778193473816, 0.5353881120681763, 0.587699294090271, 0.4782082140445709, 0.5416666865348816, 0.23593750596046448, 0.5880240201950073]",0.4750276505947113
1.4098286628723145,"[0.8706030249595642, 0.869817852973938, 0.8734296560287476, 0.9049937129020691, 0.8706030249595642, 0.8930590748786926, 0.8453203439712524, 0.8925879597663879]",0.877551794052124,"[0.4897260367870331, 0.470881849527359, 0.4899103045463562, 0.6159999966621399, 0.4770240783691406, 0.5697399377822876, 0.3158953785896301, 0.5605536103248596]",0.49871641397476196,"[0.5322580933570862, 0.35642316937446594, 0.5545685291290283, 0.6670792102813721, 0.5575447678565979, 0.6032540798187256, 0.1957605928182602, 0.6159695982933044]",0.5103572607040405,"[0.5101070404052734, 0.40573474764823914, 0.5202381014823914, 0.6405228972434998, 0.5141509771347046, 0.5860182046890259, 0.2417244017124176, 0.5869565010070801]",0.5044696927070618
1.379341721534729,"[0.8713881969451904, 0.8756281137466431, 0.8804962038993835, 0.9125314354896545, 0.8684045076370239, 0.8954145908355713, 0.8413944840431213, 0.9015389680862427]",0.8808495402336121,"[0.4924892783164978, 0.5015528202056885, 0.5154867172241211, 0.6516443490982056, 0.46832579374313354, 0.5773809552192688, 0.308270663022995, 0.6004931926727295]",0.5144554376602173,"[0.5701863169670105, 0.4068010151386261, 0.5906210541725159, 0.6637716889381409, 0.529411792755127, 0.6092965006828308, 0.20347394049167633, 0.6164556741714478]",0.5237522125244141,"[0.5284973978996277, 0.44923508167266846, 0.5505021214485168, 0.6576520800590515, 0.4969988167285919, 0.592909574508667, 0.24514198303222656, 0.608369767665863]",0.5190622210502625
1.3658726215362549,"[0.8767274022102356, 0.8771985173225403, 0.8830087780952454, 0.916614294052124, 0.8658919334411621, 0.8972989916801453, 0.8473618030548096, 0.8930590748786926]",0.8821450471878052,"[0.5125570893287659, 0.5099667906761169, 0.5231788158416748, 0.6612903475761414, 0.45885005593299866, 0.5800464153289795, 0.3305954933166504, 0.5613636374473572]",0.5172311067581177,"[0.5563816428184509, 0.38664987683296204, 0.6022871732711792, 0.7077682018280029, 0.5211267471313477, 0.631313145160675, 0.1995043307542801, 0.6261090040206909]",0.5288925170898438,"[0.5335710048675537, 0.439828097820282, 0.5599527359008789, 0.6837403178215027, 0.48800960183143616, 0.6045950055122375, 0.248840793967247, 0.5919712781906128]",0.5229967832565308
1.319358468055725,"[0.8845791220664978, 0.8770414590835571, 0.889918327331543, 0.9178705811500549, 0.8790829181671143, 0.8980841636657715, 0.8442211151123047, 0.9037374258041382]",0.8868168592453003,"[0.5394144058227539, 0.5066666603088379, 0.551886796951294, 0.6628308296203613, 0.5073947906494141, 0.5859649181365967, 0.32637572288513184, 0.6058040857315063]",0.5357922315597534,"[0.5950310826301575, 0.4318181872367859, 0.5931559205055237, 0.714640200138092, 0.5696040987968445, 0.6293969750404358, 0.21260815858840942, 0.6357868313789368]",0.5477551817893982,"[0.5658594369888306, 0.46625766158103943, 0.5717776417732239, 0.6877612471580505, 0.5367027521133423, 0.606904923915863, 0.257485032081604, 0.6204333901405334]",0.5417076945304871
1.3156404495239258,"[0.8897613286972046, 0.8792399764060974, 0.8908605575561523, 0.926350474357605, 0.8740577697753906, 0.9002826809883118, 0.8451633453369141, 0.9013819098472595]",0.8883872032165527,"[0.5610328912734985, 0.5175037980079651, 0.5548925995826721, 0.7003567218780518, 0.48903509974479675, 0.5922551155090332, 0.34046345949172974, 0.5983112454414368]",0.5442313551902771,"[0.593052089214325, 0.4292929172515869, 0.5908513069152832, 0.7307692170143127, 0.5703324675559998, 0.6524466872215271, 0.2366790622472763, 0.6270543336868286]",0.5538097620010376,"[0.5765983462333679, 0.4692891538143158, 0.5723077058792114, 0.7152398824691772, 0.526564359664917, 0.620895504951477, 0.2792397439479828, 0.6123456358909607]",0.5489788055419922
